SN,BT,WH,RV,LA,LO,AD
"Letten (Lettenstr. 26, 27, 31, Moosbergerweg 4, 5, Nordstr. 113-123, 205, Rousseaustr. 44-102)",Baugenossenschaft Letten (BGL),,Zürich,47.3912721,8.5318657,Rousseaustrasse 78 <br>8037 Zürich
Segantinistr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4070071,8.4928498,Segantinistrasse 133 <br>8049 Zürich
Wuhrstr.,Baugenossenschaft Maler und Bildhauer Zürich,,Zürich,47.3668519,8.52215,Wuhrstrasse 10 <br>8003 Zürich
6. Et. (Altwiesenstr.),Baugenossenschaft Milchbuck,,Zürich,47.4000572,8.5878079,Dübendorfstrasse 271 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4074828,8.5743553,Glattstegweg 34 <br>8051 Zürich
1. Etappe (Oberstrass),Baugenossenschaft Oberstrass,,Zürich,47.3928024,8.5449661,Winterthurerstrasse 113 <br>8006 Zürich
1. Et. (Köschenrütistr.),Baugenossenschaft Schönau,,Zürich,47.4274574,8.5386795,Schönauring 61 <br>8052 Zürich
1. Et. (Köschenrütistr.),Baugenossenschaft Schönau,,Zürich,47.4274445,8.5390901,Schönauring 92 <br>8052 Zürich
1. Et. (Köschenrütistr.),Baugenossenschaft Schönau,,Zürich,47.4274574,8.5386795,Schönauring 61a <br>8052 Zürich
1. Et. (Köschenrütistr.),Baugenossenschaft Schönau,,Zürich,47.4274574,8.5386795,Schönauring 61b <br>8052 Zürich
1. Et. (Köschenrütistr.),Baugenossenschaft Schönau,,Zürich,47.4274574,8.5386795,Schönauring 61c <br>8052 Zürich
